key,value,date
Mendelssohn,25,1948
Mendelssohn,10,1949
Mendelssohn,16,1950
Mendelssohn,24,1951
Mendelssohn,14,1952
Mendelssohn,18,1953
Mendelssohn,22,1954
Mendelssohn,24,1955
Mendelssohn,7,1956
Mendelssohn,8,1957
Mendelssohn,28,1958
Mendelssohn,3,1959
Mendelssohn,8,1960
Mendelssohn,9,1961
Mendelssohn,11,1962
Mendelssohn,20,1963
Mendelssohn,12,1964
Mendelssohn,6,1965
Mendelssohn,17,1966
Mendelssohn,15,1967
Mendelssohn,8,1968
Mendelssohn,15,1969
Mendelssohn,11,1970
Mendelssohn,14,1971
Mendelssohn,11,1972
Mendelssohn,11,1973
Mendelssohn,8,1974
Mendelssohn,20,1975
Mendelssohn,6,1976
Mendelssohn,5,1977
Mendelssohn,10,1978
Mendelssohn,7,1979
Mendelssohn,8,1980
Mendelssohn,13,1981
Mendelssohn,9,1982
Mendelssohn,11,1983
Mendelssohn,5,1984
Mendelssohn,11,1985
Mendelssohn,7,1986
Mendelssohn,7,1987
Mendelssohn,6,1988
Mendelssohn,5,1989
Mendelssohn,8,1990
Mendelssohn,17,1991
Mendelssohn,6,1992
Mendelssohn,6,1993
Mendelssohn,3,1994
Mendelssohn,18,1995
Mendelssohn,8,1996
Mendelssohn,14,1997
Mendelssohn,5,1998
Mendelssohn,9,1999
Mendelssohn,19,2000
Mendelssohn,5,2001
Mendelssohn,3,2002
Mendelssohn,14,2003
Mendelssohn,15,2004
Mendelssohn,6,2005
Mendelssohn,1,2006
Mendelssohn,13,2007
Mendelssohn,14,2008
Mendelssohn,19,2009
Mendelssohn,13,2010
Mendelssohn,4,2011
Mendelssohn,5,2012
Mendelssohn,17,2013
Mendelssohn,2,2014
Mendelssohn,9,2015
Mendelssohn,4,2016
Mozart,1,1842
Mozart,2,1843
Mozart,1,1844
Mozart,1,1845
Mozart,3,1846
Mozart,3,1847
Mozart,3,1848
Mozart,0,1849
Mozart,0,1850
Mozart,2,1851
Mozart,1,1852
Mozart,2,1853
Mozart,0,1854
Mozart,1,1855
Mozart,1,1856
Mozart,1,1857
Mozart,4,1858
Mozart,1,1859
Mozart,2,1860
Mozart,3,1861
Mozart,2,1862
Mozart,2,1863
Mozart,3,1864
Mozart,1,1865
Mozart,3,1866
Mozart,4,1867
Mozart,1,1868
Mozart,2,1869
Mozart,4,1870
Mozart,3,1871
Mozart,1,1872
Mozart,1,1873
Mozart,3,1874
Mozart,2,1875
Mozart,2,1876
Mozart,0,1877
Mozart,1,1878
Mozart,7,1879
Mozart,2,1880
Mozart,5,1881
Mozart,5,1882
Mozart,3,1883
Mozart,3,1884
Mozart,2,1885
Mozart,1,1886
Mozart,6,1887
Mozart,2,1888
Mozart,3,1889
Mozart,4,1890
Mozart,3,1891
Mozart,2,1892
Mozart,4,1893
Mozart,0,1894
Mozart,2,1895
Mozart,0,1896
Mozart,4,1897
Mozart,5,1898
Mozart,2,1899
Mozart,0,1900
Mozart,8,1901
Mozart,3,1902
Mozart,2,1903
Mozart,9,1904
Mozart,9,1905
Mozart,8,1906
Mozart,7,1907
Mozart,3,1908
Mozart,8,1909
Mozart,6,1910
Mozart,2,1911
Mozart,17,1912
Mozart,22,1913
Mozart,12,1914
Mozart,13,1915
Mozart,6,1916
Mozart,16,1917
Mozart,11,1918
Mozart,15,1919
Mozart,23,1920
Mozart,18,1921
Mozart,17,1922
Mozart,30,1923
Mozart,28,1924
Mozart,16,1925
Mozart,26,1926
Mozart,23,1927
Mozart,30,1928
Mozart,37,1929
Mozart,39,1930
Mozart,30,1931
Mozart,36,1932
Mozart,26,1933
Mozart,21,1934
Mozart,21,1935
Mozart,37,1936
Mozart,31,1937
Mozart,25,1938
Mozart,27,1939
Mozart,30,1940
Mozart,34,1941
Mozart,21,1942
Mozart,17,1943
Mozart,31,1944
Mozart,27,1945
Mozart,28,1946
Mozart,22,1947
Mozart,28,1948
Mozart,32,1949
Mozart,27,1950
Mozart,28,1951
Mozart,20,1952
Mozart,37,1953
Mozart,29,1954
Mozart,30,1955
Mozart,28,1956
Mozart,29,1957
Mozart,20,1958
Mozart,33,1959
Mozart,42,1960
Mozart,27,1961
Mozart,26,1962
Mozart,24,1963
Mozart,31,1964
Mozart,29,1965
Mozart,35,1966
Mozart,33,1967
Mozart,29,1968
Mozart,35,1969
Mozart,35,1970
Mozart,28,1971
Mozart,53,1972
Mozart,33,1973
Mozart,49,1974
Mozart,61,1975
Mozart,17,1976
Mozart,50,1977
Mozart,28,1978
Mozart,32,1979
Mozart,26,1980
Mozart,29,1981
Mozart,52,1982
